Round,変数,T01,T02,T03,T04,T05,T06,T07,T08,T09
R01,総需要,1461,1461,1461,1461,1461,1461,1461,1461,1461
R02,総需要,1392,1392,1392,1392,1392,1392,1392,1392,1392
R03,総需要,1354,1354,1354,1354,1354,1354,1354,1354,1354
R04,総需要,1341,1341,1341,1341,1341,1341,1341,1341,1341
R05,総需要,1286,1286,1286,1286,1286,1286,1286,1286,1286
R06,総需要,1331,1331,1331,1331,1331,1331,1331,1331,1331
R07,総需要,1379,1379,1379,1379,1379,1379,1379,1379,1379
R08,総需要,1452,1452,1452,1452,1452,1452,1452,1452,1452
R09,総需要,1463,1463,1463,1463,1463,1463,1463,1463,1463
R10,総需要,1498,1498,1498,1498,1498,1498,1498,1498,1498
R01,販売価格,690,900,830,700,800,800,800,700,700
R02,販売価格,730,950,900,700,750,800,910,900,800
R03,販売価格,820,950,930,900,1000,800,920,650,800
R04,販売価格,820,960,950,890,1000,800,900,900,900
R05,販売価格,870,1000,680,800,1000,800,720,800,1000
R06,販売価格,840,950,1000,800,1000,1000,1000,1000,1000
R07,販売価格,930,950,1000,750,1000,700,850,1000,950
R08,販売価格,930,1000,1000,755,1000,850,850,1000,1000
R09,販売価格,910,1000,700,1000,800,990,1000,980,1000
R10,販売価格,960,950,1000,990,810,800,1000,1000,1000
R01,材料費,310,400,410,300,300,310,380,300,300
R02,材料費,340,430,420,200,300,300,400,400,340
R03,材料費,350,430,420,350,500,300,480,300,350
R04,材料費,370,440,382,340,490,300,350,400,400
R05,材料費,370,430,310,260,460,300,300,300,490
R06,材料費,340,400,430,350,500,430,450,450,450
R07,材料費,440,400,500,300,450,250,300,450,450
R08,材料費,440,400,440,300,450,300,300,500,450
R09,材料費,460,450,310,400,300,400,450,400,400
R10,材料費,410,400,400,400,300,300,400,450,400
R01,広告費,15000,20000,15000,10000,0,5000,0,10000,20000
R02,広告費,13000,20000,30002,0,0,10000,45000,15000,0
R03,広告費,20000,15000,30008,35000,0,12000,10,5000,15000
R04,広告費,13000,12000,40007,35000,0,11000,30000,25000,30000
R05,広告費,17000,15000,15000,35000,0,11000,0,10000,0
R06,広告費,17000,12000,17016,10000,40000,10000,50000,15000,0
R07,広告費,17000,7000,6000,0,0,10000,15000,15000,0
R08,広告費,22000,20000,30001,0,0,10000,15000,5000,0
R09,広告費,22000,25000,15000,0,0,15000,20000,30000,20000
R10,広告費,23000,10000,15000,50000,0,15000,25000,100,0
R01,一般管理費,50000,50000,50000,50000,50000,50000,50000,50000,50000
R02,一般管理費,50000,50000,50000,50000,50000,50000,50000,50000,50000
R03,一般管理費,50000,50000,50000,50000,50000,50000,50000,50000,50000
R04,一般管理費,50000,50000,50000,50000,50000,50000,50000,50000,50000
R05,一般管理費,50000,50000,50000,50000,50000,50000,50000,50000,50000
R06,一般管理費,50000,50000,50000,50000,50000,50000,50000,50000,50000
R07,一般管理費,50000,50000,50000,50000,50000,50000,50000,50000,50000
R08,一般管理費,50000,50000,50000,50000,50000,50000,50000,50000,50000
R09,一般管理費,50000,50000,50000,50000,50000,50000,50000,50000,50000
R10,一般管理費,50000,50000,50000,50000,50000,50000,50000,50000,50000
R01,来店客数,183,175,171,168,127,141,134,168,193
R02,来店客数,172,163,186,71,142,152,211,157,137
R03,来店客数,161,143,170,177,118,147,124,159,155
R04,来店客数,147,135,164,162,121,143,156,153,159
R05,来店客数,167,153,186,104,121,133,144,154,123
R06,来店客数,153,137,141,150,175,132,185,139,120
R07,来店客数,188,149,147,145,124,184,166,148,129
R08,来店客数,198,183,210,160,116,155,141,152,136
R09,来店客数,177,172,188,127,145,153,163,179,160
R10,来店客数,180,157,160,224,150,179,178,137,133
R01,売上高,126270,157500,141930,117600,101600,112800,107200,117600,135100
R02,売上高,125560,154850,167400,49700,106500,121600,192010,141300,109600
R03,売上高,132020,135850,158100,159300,118000,117600,114080,103350,124000
R04,売上高,120540,129600,155800,144180,121000,114400,140400,137700,143100
R05,売上高,145290,153000,126480,83200,121000,106400,103680,123200,123000
R06,売上高,128520,130150,141000,120000,175000,132000,185000,139000,120000
R07,売上高,174840,141550,147000,108750,124000,128800,141100,148000,122550
R08,売上高,184140,183000,210000,120800,116000,131750,119850,152000,136000
R09,売上高,161070,172000,131600,127000,116000,151470,163000,175420,160000
R10,売上高,172800,149150,160000,221760,121500,143200,178000,137000,133000
R01,売上原価,56730,70000,70110,50400,38100,43710,50920,50400,57900
R02,売上原価,58480,70090,78120,14200,42600,45600,84400,62800,46580
R03,売上原価,56350,61490,71400,61950,59000,44100,59520,47700,54250
R04,売上原価,54390,59400,62648,55080,59290,42900,54600,61200,63600
R05,売上原価,61790,65790,57660,27040,55660,39900,43200,46200,60270
R06,売上原価,52020,54800,60630,52500,87500,56760,83250,62550,54000
R07,売上原価,82720,59600,73500,43500,55800,46000,49800,66600,58050
R08,売上原価,87120,73200,92400,48000,52200,46500,42300,76000,61200
R09,売上原価,81420,77400,58280,50800,43500,61200,73350,71600,64000
